Date,Price,Open,High,Low,Volume,Chg
30-09-2022,800.54,811.77,819.39,800.15,546.95M,-0.0207
29-09-2022,817.47,840.23,840.23,812.29,489.59M,-0.0338
28-09-2022,846.08,835.03,849.91,828.74,446.94M,0.0155
27-09-2022,833.19,845.89,852.78,827.16,475.53M,-0.005
26-09-2022,837.35,837.77,850.93,835.56,462.58M,-0.0048
23-09-2022,841.39,854.31,854.31,831.72,495.06M,-0.0235
22-09-2022,861.62,873.09,874.26,859.83,455.67M,-0.0138
21-09-2022,873.68,886.14,898.14,873.56,457.16M,-0.0122
20-09-2022,884.43,888.73,890.84,878.42,535.11M,-0.0114
19-09-2022,894.6,879.99,894.66,877.51,384.62M,0.0122
16-09-2022,883.84,882.03,884.39,876.34,827.96M,-0.0013
15-09-2022,885.03,888.22,894.52,882.27,448.92M,-0.005
14-09-2022,889.44,883.04,892.3,881.34,462.50M,0.008
13-09-2022,882.41,901.11,902.31,880.23,499.33M,-0.037
12-09-2022,916.28,910.63,918.69,910.63,411.92M,0.009
09-09-2022,908.1,896.27,911.35,896.27,424.76M,0.0172
08-09-2022,892.76,883.63,892.98,879.23,427.01M,0.0049
07-09-2022,888.45,868.16,888.89,868.16,399.73M,0.0225
06-09-2022,868.9,873.74,875.04,863.25,448.61M,-0.0029
02-09-2022,871.47,890.8,893.21,867.93,388.10M,-0.014
01-09-2022,883.86,876.19,884.39,868.08,398.47M,0.0035
31-08-2022,880.77,891.43,892.54,880.7,426.33M,-0.0082
30-08-2022,888.01,902.95,903.46,884.48,369.00M,-0.0126
29-08-2022,899.33,897.47,905.33,892.72,323.12M,-0.0047
26-08-2022,903.56,929.43,931.9,903.34,398.36M,-0.0261
25-08-2022,927.74,926.71,928.71,919.08,388.06M,0.0055
24-08-2022,922.68,920.42,928.91,919.5,356.78M,0.0036
23-08-2022,919.36,916.83,922.09,913.09,302.94M,0.0026
22-08-2022,916.94,929.5,929.5,915.31,350.75M,-0.0172
19-08-2022,933.03,939.56,939.56,929.73,356.07M,-0.0103
18-08-2022,942.7,943.55,944.25,938.71,267.13M,0.0009
17-08-2022,941.81,944.25,949.07,937.86,317.52M,-0.0073
16-08-2022,948.74,945.6,954.23,942.21,370.83M,0.0046
15-08-2022,944.37,932.66,946.13,932.41,338.81M,0.0127
12-08-2022,932.53,917.48,932.65,916.63,368.66M,0.0182
11-08-2022,915.85,925.35,929.8,914.3,410.87M,-0.0051
10-08-2022,920.58,918.27,921.11,911.86,431.66M,0.0198
09-08-2022,902.69,912.46,913.51,900.13,390.81M,-0.0117
08-08-2022,913.4,917.01,929.18,911.76,401.56M,0.0037
05-08-2022,909.99,917.95,917.95,905.47,369.31M,-0.0162
04-08-2022,925,929.58,931.54,922.15,404.74M,-0.0041
03-08-2022,928.84,919.54,931,917.45,411.88M,0.0144
02-08-2022,915.61,918.39,926.37,912.46,411.96M,-0.0059
01-08-2022,921.09,914.91,928.27,913.97,445.70M,0.0085
29-07-2022,913.3,900.52,914.91,896.1,490.03M,0.0084
28-07-2022,905.72,895.81,907,888.13,476.33M,0.0175
27-07-2022,890.16,876.23,892.64,871.99,399.29M,0.0206
26-07-2022,872.21,877.15,877.15,866.56,353.09M,-0.0097
25-07-2022,880.72,881.73,884.02,876.52,301.62M,-0.0006
22-07-2022,881.23,883.52,889.42,876.45,344.25M,0.0022
21-07-2022,879.27,863.1,879.36,863.1,399.80M,0.0232
20-07-2022,859.36,860.86,864.04,854.14,384.75M,-0.0012
19-07-2022,860.37,848.39,861.03,848.39,389.59M,0.0207
18-07-2022,842.9,852.43,858.14,841.04,359.43M,-0.0056
15-07-2022,847.67,846.57,850.9,843.65,358.08M,0.0061
14-07-2022,842.56,839.37,843.45,828.8,366.61M,-0.0045
13-07-2022,846.33,834.42,853.51,832.25,368.44M,0.0034
12-07-2022,843.48,845.72,852.33,839.37,386.38M,-0.001
11-07-2022,844.35,860.69,862.46,842.84,363.86M,-0.0193
08-07-2022,861.01,856.72,868.23,856,412.01M,0.0021
07-07-2022,859.23,846.92,860.14,846.41,420.01M,0.0172
06-07-2022,844.66,846.43,852.22,839.95,439.77M,-0.0026
05-07-2022,846.87,836.41,846.95,824.32,479.88M,0.0046
01-07-2022,842.96,833.72,843.52,829.68,392.68M,0.0132
30-06-2022,831.96,832,838.73,824.01,442.44M,-0.0083
29-06-2022,838.89,838.29,841.27,832.55,360.73M,-0.0018
28-06-2022,840.37,860.87,869.27,840.11,386.93M,-0.0232
27-06-2022,860.31,866.67,867.13,857.11,385.04M,-0.0044
24-06-2022,864.14,845.29,864.32,845.29,710.34M,0.0278
23-06-2022,840.76,832.09,842.34,830.22,454.63M,0.0141
22-06-2022,829.04,824.32,837.55,823.62,467.57M,-0.0014
21-06-2022,830.21,811.72,835.32,811.72,498.33M,0.0357
17-06-2022,801.62,797.85,807.17,793.63,878.03M,0.0057
16-06-2022,797.06,808.57,808.57,791.35,525.67M,-0.0342
15-06-2022,825.32,817.25,833.36,811.25,507.47M,0.0142
14-06-2022,813.79,820.66,821.06,807,455.28M,-0.0048
13-06-2022,817.69,835.28,835.82,814.38,519.57M,-0.0377
10-06-2022,849.76,858.43,858.43,845.82,414.90M,-0.0174
09-06-2022,864.78,883.43,888.27,864.65,356.40M,-0.0164
08-06-2022,879.18,883.6,889.79,878.38,343.61M,-0.0069
07-06-2022,885.28,874.01,886.56,867.35,346.28M,0.0061
06-06-2022,879.94,884.9,887.97,875.23,352.40M,0.0054
03-06-2022,875.18,885.27,889.79,873.41,350.29M,-0.0271
02-06-2022,899.58,882.01,900.29,877.41,409.83M,0.0195
01-06-2022,882.34,894.96,898.18,875.39,401.92M,-0.0129
31-05-2022,893.85,899.02,900.45,881.91,624.85M,-0.0039
27-05-2022,897.34,881.66,897.35,881.66,409.02M,0.0244
26-05-2022,875.93,857.43,881,857.43,433.02M,0.0251
25-05-2022,854.51,839.28,858.64,838.83,419.41M,0.0143
24-05-2022,842.47,843.15,845.14,832.83,457.64M,-0.0087
23-05-2022,849.86,837.88,852.52,834.74,433.22M,0.0147
20-05-2022,837.54,850.89,853.31,817.67,832.53M,-0.0094
19-05-2022,845.46,852.94,857.69,839.78,640.76M,-0.0126
18-05-2022,856.26,899.11,899.11,853.73,569.40M,-0.0562
17-05-2022,907.23,901.84,907.37,894.14,535.25M,0.0162
16-05-2022,892.78,901.37,901.69,891,503.38M,-0.0112
13-05-2022,902.9,891.73,905.03,886.7,601.65M,0.0295
12-05-2022,876.99,865.01,886.76,861.66,831.28M,0.002
11-05-2022,875.27,894.39,903.6,873.16,740.16M,-0.0222
10-05-2022,895.16,910.33,912.74,886.32,708.97M,-0.0043
09-05-2022,899.02,913.21,914.71,895.74,688.01M,-0.0266
06-05-2022,923.61,928.05,930.87,911.16,557.10M,-0.0051
05-05-2022,928.3,959.14,959.14,919.56,479.37M,-0.0382
04-05-2022,965.18,937.24,965.78,932.87,479.36M,0.0281
03-05-2022,938.83,938.42,944.51,932.09,450.44M,0.0009
02-05-2022,937.99,934.45,941.25,915.74,462.21M,0.0039
29-04-2022,934.36,957.32,965.38,933.31,491.96M,-0.0205
28-04-2022,953.87,947.83,960.25,928.94,545.10M,0.0119
27-04-2022,942.64,945.57,956.39,939.94,482.25M,0.0045
26-04-2022,938.41,981.09,981.54,938.23,518.95M,-0.0445
25-04-2022,982.07,974.48,983.13,965.54,442.83M,0.003
22-04-2022,979.16,993.72,997.26,978.28,417.54M,-0.0141
21-04-2022,993.2,1012.86,1020.8,990.86,419.30M,0.0038
20-04-2022,989.43,995.89,1003.51,988.85,384.51M,-0.0051
19-04-2022,994.51,974.05,995.84,974.05,393.66M,0.0212
18-04-2022,973.83,974.96,979.48,969.13,337.84M,-0.0008
14-04-2022,974.61,978.54,984.84,974.28,359.30M,-0.0082
13-04-2022,982.62,967.79,984.33,966.8,346.84M,0.0135
12-04-2022,969.51,972.47,982.64,965.39,382.73M,0.004
11-04-2022,965.62,964.95,975.95,964.95,415.11M,-0.0111
08-04-2022,976.49,978.59,984.14,974.39,393.07M,-0.005
07-04-2022,981.41,977.15,985.3,968.61,509.51M,0.0055
06-04-2022,976.01,981.45,981.45,968.91,533.47M,-0.0102
05-04-2022,986.05,1002.34,1008.66,984,449.53M,-0.0189
04-04-2022,1005,990.94,1005.12,980.63,368.90M,0.0142
01-04-2022,990.95,985.11,991.13,982.24,369.96M,0.0087
31-03-2022,982.43,994.58,994.58,982.43,404.62M,-0.0128
30-03-2022,995.13,998.12,999.61,990.33,384.55M,-0.0056
29-03-2022,1000.72,990.96,1002.71,990.96,495.51M,0.016
28-03-2022,984.99,976.81,985.14,972.34,389.97M,0.0213
25-03-2022,964.44,960.58,967.12,956.21,363.98M,0.004
24-03-2022,960.61,956.62,960.97,951.7,357.25M,0.0074
23-03-2022,953.58,958.12,968.82,952.99,422.88M,-0.0083
22-03-2022,961.6,940.73,963.66,940.73,454.07M,0.0252
21-03-2022,937.92,938.8,947.48,930.49,428.88M,0.0015
18-03-2022,936.51,924,938.1,920.34,687.49M,0.0138
17-03-2022,923.76,908.75,924,906.12,400.59M,0.013
16-03-2022,911.95,896.93,912.47,890.88,513.06M,0.0205
15-03-2022,893.6,874.67,895.4,873.73,463.29M,0.0264
14-03-2022,870.63,877.97,885.14,867.11,501.68M,-0.0103
11-03-2022,879.67,901.61,905.15,879.07,423.62M,-0.0217
10-03-2022,899.19,907.63,907.63,889.09,446.51M,-0.0155
09-03-2022,913.37,902.01,918.29,902.01,484.80M,0.0213
08-03-2022,894.28,903.4,918.22,891.64,630.40M,-0.0114
07-03-2022,904.6,939.26,939.26,904.15,645.25M,-0.0333
04-03-2022,935.79,944.48,944.48,928.54,548.81M,-0.0091
03-03-2022,944.42,957.32,960.55,941,480.16M,-0.0131
02-03-2022,956.98,944.84,960.22,942.39,556.21M,0.0168
01-03-2022,941.21,952.71,954.95,934.95,560.59M,-0.0145
28-02-2022,955.03,944.25,958.65,940.46,538.81M,0.0039
25-02-2022,951.35,930.06,951.35,929.7,518.10M,0.0266
24-02-2022,926.67,910.45,927.63,898.7,676.93M,0.0001
23-02-2022,926.6,951.84,954.29,925.5,480.01M,-0.0224
22-02-2022,947.79,960.79,961.52,938.35,552.75M,-0.0194
18-02-2022,966.54,971.98,973.47,958.28,526.58M,-0.0036
17-02-2022,970.08,982.56,982.56,968.82,466.34M,-0.0141
16-02-2022,983.92,978.02,986.56,974.06,469.34M,0.0029
15-02-2022,981.11,971.51,984.08,971.51,478.55M,0.0176
14-02-2022,964.16,961.8,968.79,955.77,503.51M,0.0031
11-02-2022,961.2,980.28,984.09,956.97,542.53M,-0.0171
10-02-2022,977.96,984.14,997.45,973.4,523.82M,-0.0155
