"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","QGDP","VOLIDX","IDX","Q","2015-Q1",99.298241172,
"AUS","QGDP","VOLIDX","IDX","Q","2015-Q2",99.378385564,
"AUS","QGDP","VOLIDX","IDX","Q","2015-Q3",100.396923909,
"AUS","QGDP","VOLIDX","IDX","Q","2015-Q4",101.028171084,
"AUS","QGDP","VOLIDX","IDX","Q","2016-Q1",101.925171779,
"AUS","QGDP","VOLIDX","IDX","Q","2016-Q2",102.541887279,
"AUS","QGDP","VOLIDX","IDX","Q","2016-Q3",102.664525813,
"AUS","QGDP","VOLIDX","IDX","Q","2016-Q4",103.781263056,
"AUS","QGDP","VOLIDX","IDX","Q","2017-Q1",104.08290541,
"AUS","QGDP","VOLIDX","IDX","Q","2017-Q2",104.682226935,
"AUS","QGDP","VOLIDX","IDX","Q","2017-Q3",105.702086341,
"AUS","QGDP","VOLIDX","IDX","Q","2017-Q4",106.216639759,
"AUS","QGDP","VOLIDX","IDX","Q","2018-Q1",107.215362183,
"AUS","QGDP","VOLIDX","IDX","Q","2018-Q2",107.997870889,
"AUS","QGDP","VOLIDX","IDX","Q","2018-Q3",108.455618667,
"AUS","QGDP","VOLIDX","IDX","Q","2018-Q4",108.69627202,
"AUS","QGDP","VOLIDX","IDX","Q","2019-Q1",109.238567727,
"AUS","QGDP","VOLIDX","IDX","Q","2019-Q2",109.76699229,
"AUS","QGDP","VOLIDX","IDX","Q","2019-Q3",110.679845722,
"AUS","QGDP","VOLIDX","IDX","Q","2019-Q4",111.251645134,
"AUS","QGDP","VOLIDX","IDX","Q","2020-Q1",111.000863644,
"AUS","QGDP","VOLIDX","IDX","Q","2020-Q2",103.208582936,
"AUS","QGDP","VOLIDX","IDX","Q","2020-Q3",106.814640223,
"AUS","QGDP","VOLIDX","IDX","Q","2020-Q4",110.487631287,
"AUS","QGDP","VOLIDX","IDX","Q","2021-Q1",112.638759611,
"AUS","QGDP","VOLIDX","IDX","Q","2021-Q2",113.301492084,
"AUS","QGDP","VOLIDX","IDX","Q","2021-Q3",111.228306383,
"AUS","QGDP","VOLIDX","IDX","Q","2021-Q4",115.514490117,
"AUS","QGDP","VOLIDX","IDX","Q","2022-Q1",116.335749958,
"AUS","QGDP","VOLIDX","IDX","Q","2022-Q2",117.374544578,
"AUT","QGDP","VOLIDX","IDX","Q","2015-Q1",99.508227476,
"AUT","QGDP","VOLIDX","IDX","Q","2015-Q2",99.656825128,
"AUT","QGDP","VOLIDX","IDX","Q","2015-Q3",100.356088311,
"AUT","QGDP","VOLIDX","IDX","Q","2015-Q4",100.511033322,
"AUT","QGDP","VOLIDX","IDX","Q","2016-Q1",101.246690114,
"AUT","QGDP","VOLIDX","IDX","Q","2016-Q2",101.608171152,
"AUT","QGDP","VOLIDX","IDX","Q","2016-Q3",102.085490599,
"AUT","QGDP","VOLIDX","IDX","Q","2016-Q4",103.029585419,
"AUT","QGDP","VOLIDX","IDX","Q","2017-Q1",103.340252739,
"AUT","QGDP","VOLIDX","IDX","Q","2017-Q2",104.063307766,
"AUT","QGDP","VOLIDX","IDX","Q","2017-Q3",104.720092567,
"AUT","QGDP","VOLIDX","IDX","Q","2017-Q4",105.349011967,
"AUT","QGDP","VOLIDX","IDX","Q","2018-Q1",106.108778959,
"AUT","QGDP","VOLIDX","IDX","Q","2018-Q2",106.419740235,
"AUT","QGDP","VOLIDX","IDX","Q","2018-Q3",106.813444891,
"AUT","QGDP","VOLIDX","IDX","Q","2018-Q4",108.204525921,
"AUT","QGDP","VOLIDX","IDX","Q","2019-Q1",108.588312757,
