"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2015-03",6.099085,
"AUS","HUR","TOT","PC_LF","M","2015-04",6.108723,
"AUS","HUR","TOT","PC_LF","M","2015-05",5.928215,
"AUS","HUR","TOT","PC_LF","M","2015-06",6.007651,
"AUS","HUR","TOT","PC_LF","M","2015-07",6.287189,
"AUS","HUR","TOT","PC_LF","M","2015-08",6.093563,
"AUS","HUR","TOT","PC_LF","M","2015-09",6.162747,
"AUS","HUR","TOT","PC_LF","M","2015-10",5.912835,
"AUS","HUR","TOT","PC_LF","M","2015-11",5.85724,
"AUS","HUR","TOT","PC_LF","M","2015-12",5.74276,
"AUS","HUR","TOT","PC_LF","M","2016-01",6.030995,
"AUS","HUR","TOT","PC_LF","M","2016-02",5.692499,
"AUS","HUR","TOT","PC_LF","M","2016-03",5.647598,
"AUS","HUR","TOT","PC_LF","M","2016-04",5.641875,
"AUS","HUR","TOT","PC_LF","M","2016-05",5.718826,
"AUS","HUR","TOT","PC_LF","M","2016-06",5.694029,
"AUS","HUR","TOT","PC_LF","M","2016-07",5.707722,
"AUS","HUR","TOT","PC_LF","M","2016-08",5.616176,
"AUS","HUR","TOT","PC_LF","M","2016-09",5.646879,
"AUS","HUR","TOT","PC_LF","M","2016-10",5.574501,
"AUS","HUR","TOT","PC_LF","M","2016-11",5.765401,
"AUS","HUR","TOT","PC_LF","M","2016-12",5.831332,
"AUS","HUR","TOT","PC_LF","M","2017-01",5.692372,
"AUS","HUR","TOT","PC_LF","M","2017-02",5.847843,
"AUS","HUR","TOT","PC_LF","M","2017-03",5.84764,
"AUS","HUR","TOT","PC_LF","M","2017-04",5.612722,
"AUS","HUR","TOT","PC_LF","M","2017-05",5.542127,
"AUS","HUR","TOT","PC_LF","M","2017-06",5.599765,
"AUS","HUR","TOT","PC_LF","M","2017-07",5.60746,
"AUS","HUR","TOT","PC_LF","M","2017-08",5.525268,
"AUS","HUR","TOT","PC_LF","M","2017-09",5.450234,
"AUS","HUR","TOT","PC_LF","M","2017-10",5.351948,
"AUS","HUR","TOT","PC_LF","M","2017-11",5.42093,
"AUS","HUR","TOT","PC_LF","M","2017-12",5.607632,
"AUS","HUR","TOT","PC_LF","M","2018-01",5.514392,
"AUS","HUR","TOT","PC_LF","M","2018-02",5.562968,
